epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.4066666666666666,1.654174220511149,0.001,0.3,1.678539206449245
2,0.41866666666666663,1.6460104785587313,0.001,0.36,1.4404906109570823
3,0.44800000000000006,1.4835960551163427,0.001,0.44,1.7343205041814715
4,0.4746666666666666,1.4686331370065904,0.001,0.42,1.7388409849372408
5,0.5479999999999998,1.1450904618459656,0.001,0.5,1.1717332371109273
6,0.5506666666666667,1.151386266357157,0.001,0.58,1.3515724486242637
7,0.5773333333333334,1.046186943050256,0.001,0.54,1.1462115871939298
8,0.6133333333333333,0.985982530609672,0.001,0.58,1.1952872976944036
9,0.6439999999999999,0.8678646329870865,0.001,0.56,1.2874934361383483
10,0.6066666666666667,1.088686497559437,0.001,0.58,1.129391020889691
